,nb_reuse,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,1.0,145.0,21.16788321167883,183.0,26.71532846715328,152.0,22.18978102189781
1,2.0,99.0,14.452554744525548,107.0,15.62043795620438,100.0,14.5985401459854
2,3.0,57.0,8.321167883211679,49.0,7.153284671532846,64.0,9.343065693430656
3,4.0,37.0,5.401459854014599,46.0,6.715328467153285,34.0,4.963503649635037
4,5.0,35.0,5.109489051094891,33.0,4.817518248175182,34.0,4.963503649635037
5,6.0,37.0,5.401459854014599,41.0,5.985401459854015,42.0,6.131386861313868
6,7.0,37.0,5.401459854014599,33.0,4.817518248175182,37.0,5.401459854014599
7,8.0,34.0,4.963503649635037,36.0,5.255474452554744,33.0,4.817518248175182
8,9.0,13.0,1.897810218978102,17.0,2.4817518248175183,13.0,1.897810218978102
9,10.0,19.0,2.7737226277372264,19.0,2.7737226277372264,14.0,2.0437956204379564
10,11.0,7.0,1.0218978102189782,6.0,0.8759124087591241,13.0,1.897810218978102
11,12.0,9.0,1.313868613138686,6.0,0.8759124087591241,7.0,1.0218978102189782
12,13.0,8.0,1.167883211678832,4.0,0.583941605839416,6.0,0.8759124087591241
13,14.0,9.0,1.313868613138686,8.0,1.167883211678832,12.0,1.7518248175182483
14,15.0,9.0,1.313868613138686,4.0,0.583941605839416,9.0,1.313868613138686
15,16.0,7.0,1.0218978102189782,5.0,0.7299270072992701,9.0,1.313868613138686
16,17.0,3.0,0.43795620437956206,5.0,0.7299270072992701,4.0,0.583941605839416
17,18.0,6.0,0.8759124087591241,5.0,0.7299270072992701,5.0,0.7299270072992701
18,19.0,2.0,0.291970802919708,4.0,0.583941605839416,4.0,0.583941605839416
19,20.0,8.0,1.167883211678832,2.0,0.291970802919708,2.0,0.291970802919708
20,21.0,2.0,0.291970802919708,2.0,0.291970802919708,4.0,0.583941605839416
21,22.0,4.0,0.583941605839416,5.0,0.7299270072992701,4.0,0.583941605839416
22,23.0,2.0,0.291970802919708,0.0,0.0,5.0,0.7299270072992701
23,24.0,3.0,0.43795620437956206,5.0,0.7299270072992701,3.0,0.43795620437956206
24,25.0,5.0,0.7299270072992701,2.0,0.291970802919708,1.0,0.145985401459854
25,26.0,7.0,1.0218978102189782,6.0,0.8759124087591241,3.0,0.43795620437956206
26,27.0,1.0,0.145985401459854,6.0,0.8759124087591241,8.0,1.167883211678832
27,28.0,5.0,0.7299270072992701,5.0,0.7299270072992701,4.0,0.583941605839416
28,29.0,4.0,0.583941605839416,4.0,0.583941605839416,0.0,0.0
29,30.0,4.0,0.583941605839416,5.0,0.7299270072992701,5.0,0.7299270072992701
30,31.0,5.0,0.7299270072992701,3.0,0.43795620437956206,6.0,0.8759124087591241
31,32.0,6.0,0.8759124087591241,1.0,0.145985401459854,6.0,0.8759124087591241
32,33.0,4.0,0.583941605839416,7.0,1.0218978102189782,4.0,0.583941605839416
33,34.0,4.0,0.583941605839416,2.0,0.291970802919708,5.0,0.7299270072992701
34,35.0,5.0,0.7299270072992701,1.0,0.145985401459854,4.0,0.583941605839416
35,36.0,5.0,0.7299270072992701,3.0,0.43795620437956206,2.0,0.291970802919708
36,37.0,5.0,0.7299270072992701,2.0,0.291970802919708,1.0,0.145985401459854
37,38.0,4.0,0.583941605839416,0.0,0.0,3.0,0.43795620437956206
38,39.0,2.0,0.291970802919708,1.0,0.145985401459854,2.0,0.291970802919708
39,40.0,1.0,0.145985401459854,3.0,0.43795620437956206,1.0,0.145985401459854
40,41.0,0.0,0.0,1.0,0.145985401459854,0.0,0.0
41,42.0,3.0,0.43795620437956206,1.0,0.145985401459854,2.0,0.291970802919708
42,43.0,3.0,0.43795620437956206,0.0,0.0,2.0,0.291970802919708
43,44.0,1.0,0.145985401459854,0.0,0.0,2.0,0.291970802919708
44,45.0,1.0,0.145985401459854,0.0,0.0,0.0,0.0
45,46.0,1.0,0.145985401459854,1.0,0.145985401459854,2.0,0.291970802919708
46,47.0,1.0,0.145985401459854,0.0,0.0,1.0,0.145985401459854
47,48.0,0.0,0.0,0.0,0.0,1.0,0.145985401459854
48,49.0,1.0,0.145985401459854,0.0,0.0,2.0,0.291970802919708
49,50.0,2.0,0.291970802919708,1.0,0.145985401459854,0.0,0.0
50,51.0,2.0,0.291970802919708,1.0,0.145985401459854,1.0,0.145985401459854
51,52.0,1.0,0.145985401459854,1.0,0.145985401459854,1.0,0.145985401459854
52,53.0,2.0,0.291970802919708,0.0,0.0,0.0,0.0
53,55.0,1.0,0.145985401459854,0.0,0.0,1.0,0.145985401459854
54,56.0,1.0,0.145985401459854,3.0,0.43795620437956206,0.0,0.0
55,57.0,0.0,0.0,0.0,0.0,1.0,0.145985401459854
56,58.0,0.0,0.0,0.0,0.0,1.0,0.145985401459854
57,59.0,0.0,0.0,0.0,0.0,1.0,0.145985401459854
58,60.0,1.0,0.145985401459854,0.0,0.0,0.0,0.0
59,61.0,1.0,0.145985401459854,0.0,0.0,0.0,0.0
60,62.0,0.0,0.0,0.0,0.0,1.0,0.145985401459854
61,63.0,1.0,0.145985401459854,0.0,0.0,1.0,0.145985401459854
62,65.0,2.0,0.291970802919708,0.0,0.0,0.0,0.0
63,66.0,1.0,0.145985401459854,0.0,0.0,0.0,0.0
