,nb_proc,prop_proc,nb_wf
15,3.0,0.09946949602122016,16.0
14,2.0,0.0663129973474801,15.0
13,4.0,0.1326259946949602,14.0
12,7.0,0.23209549071618035,13.0
11,6.0,0.1989389920424403,12.0
10,10.0,0.33156498673740054,11.0
9,11.0,0.3647214854111406,10.0
8,9.0,0.29840848806366044,9.0
7,21.0,0.6962864721485411,8.0
6,23.0,0.7625994694960212,7.0
5,36.0,1.1936339522546418,6.0
4,47.0,1.5583554376657824,5.0
3,89.0,2.9509283819628647,4.0
2,138.0,4.575596816976128,3.0
1,470.0,15.583554376657824,2.0
0,2140.0,70.95490716180372,1.0
